  T            P             m           phii          hi(bar)          Ki             yi             xi
---------------------------------------------------------------------------------------------------------------
333.15         83         0.0172       0.710903        3512.64      0.0119973       0.011799      0.0165342
333.15        103         0.0172       0.649664        3597.41     0.00966776     0.00949036      0.0183512
333.15        138         0.0172       0.556207        3750.11     0.00721622     0.00707016      0.0202421
333.15        172         0.0172       0.490347        3903.89     0.00579047     0.00566658      0.0213964
333.15        193         0.0172       0.459822        4001.64     0.00516097     0.00504755      0.0219783
353.15         41         0.0172       0.875925         4224.1      0.0240941       0.023895      0.0082702
353.15         83         0.0172       0.762373        4432.71      0.0118976      0.0117304      0.0140528
353.15        103         0.0172       0.713255        4535.15     0.00958604     0.00943283      0.0159834
353.15        138         0.0172       0.636558        4719.36     0.00715344     0.00702175      0.0184102
353.15        158         0.0172       0.599161        4827.51     0.00624745     0.00612617      0.0194131
353.15        172         0.0172       0.576005        4904.49      0.0057387     0.00562388      0.0200078
353.15        213         0.0172        0.52124        5136.12     0.00463377     0.00453445      0.0214341
353.15       94.9          0.171       0.732735        4493.42      0.0104048      0.0102516      0.0147202
353.25       99.4          0.171       0.722109         4520.9     0.00993285     0.00978279      0.0151096
353.35       41.3          0.171       0.875301        4233.78      0.0239162      0.0237247      0.0080149
353.35       60.2          0.171       0.822662        4326.75      0.0164047      0.0162272      0.0108228
353.35       60.7          0.171       0.821307        4329.23      0.0162695      0.0160924      0.0108899
353.45       40.4          0.171       0.877991        4233.49      0.0244478      0.0242558     0.00786087
353.45       80.4          0.171       0.769664        4432.32      0.0122804      0.0121176      0.0132551
353.65       80.5          0.171       0.769848        4441.32      0.0122636      0.0121012      0.0132481
333.15         41          0.172       0.849817        3340.32      0.0242888      0.0240515     0.00977725
333.15         83          0.172       0.710903        3512.64      0.0119973      0.0118061      0.0159384
333.15        138          0.172       0.556207        3750.11     0.00721622     0.00707536      0.0195219
333.15        158          0.172       0.514661        3839.91     0.00630319     0.00617574      0.0202206
333.15        172          0.172       0.490347        3903.89     0.00579047     0.00567095      0.0206424
333.15        193          0.172       0.459822        4001.64     0.00516097     0.00505152      0.0212088
353.15         41          0.172       0.875925         4224.1      0.0240941       0.023902     0.00797731
353.15         83          0.172       0.762373        4432.71      0.0118976      0.0117363      0.0135549
353.15        138          0.172       0.636558        4719.36     0.00715344     0.00702638      0.0177626
353.15        172          0.172       0.576005        4904.49      0.0057387     0.00562789      0.0193085
353.15        213          0.172        0.52124        5136.12     0.00463377     0.00453789      0.0206915
373.15         48              1       0.880601        4999.92        0.02029       0.020156     0.00660537
323.1         51              1       0.796308        2902.83      0.0195537       0.019342      0.0108286
323.1      100.3              1       0.617797        3083.97     0.00994377     0.00978726      0.0157408
323.1      143.8              1       0.494067        3252.06     0.00693729     0.00681782      0.0172232
323.2         50              1       0.800273        2904.04      0.0199446      0.0197321      0.0106607
323.2        100              1       0.619283        3087.87     0.00997351     0.00981683      0.0157113
323.15        150              1       0.481399        3279.31     0.00665079     0.00653524      0.0173737
323.2        150              1       0.481654        3281.96     0.00665076     0.00653524      0.0173691
323.2        200              1       0.405225         3486.8     0.00499008     0.00489801      0.0184499
323.2        300              1       0.329418        3930.95     0.00333075     0.00326354      0.0201788
373.1       50.7              1       0.874279        5013.38      0.0192094      0.0190766      0.0069152
373.1        104              1       0.760648        5319.17     0.00935685     0.00924687      0.0117556
373.1      191.4              1       0.621112        5854.96     0.00507906     0.00499685      0.0161857
373.2         50              1       0.876014        5012.71       0.019477      0.0193439     0.00683253
373.2        100              1       0.768703        5299.08     0.00973088     0.00961937      0.0114608
373.2        150              1       0.679654        5599.25      0.0064831     0.00638935       0.014462
373.15        150              1       0.679507        5597.47     0.00648337      0.0063896      0.0144634
373.2        200              1       0.611113        5913.78     0.00485988     0.00477975      0.0164869
373.2        300              1       0.526114        6588.42     0.00323793     0.00317557      0.0192614
313.31      38.44            2.5        0.82831        2397.71      0.0259456       0.025758     0.00723505
313.31      51.37            2.5       0.773678        2437.43      0.0194159      0.0192422     0.00894882
313.31      63.73            2.5       0.722288        2475.95      0.0156512      0.0154907      0.0102565
313.31      77.89            2.5       0.663336        2520.75      0.0128068      0.0126613      0.0113643
313.31      91.29            2.5       0.605043        2563.81      0.0109278      0.0107968      0.0119957
323.15      57.39            2.5       0.772526        2928.17      0.0173766      0.0172308     0.00839112
323.15       87.3            2.5       0.663923        3037.74       0.011424      0.0113019      0.0106866
323.15     117.73            2.5       0.561088        3152.93      0.0084722     0.00837189      0.0118413
323.15      150.2            2.5       0.480998        3280.11     0.00664194      0.0065585      0.0125634
323.15     182.11            2.5       0.427674        3409.51     0.00547944     0.00540741      0.0131461
353.07      40.82            2.5       0.876347        4219.94      0.0242015      0.0240871     0.00473029
353.07      52.21            2.5        0.84417        4275.61      0.0189197      0.0188103     0.00578701
353.07       64.7            2.5       0.810029        4337.39      0.0152657      0.0151616     0.00681867
353.07      76.79            2.5       0.778129        4397.92       0.012861      0.0127619     0.00770044
353.07     100.61            2.5       0.718725        4519.33     0.00981438      0.0097247      0.0091383
373.15      57.42            2.5       0.858956        5052.73      0.0169587       0.016865      0.0055241
373.15      87.89            2.5       0.793019         5226.8      0.0110741      0.0109896     0.00763051
373.15     118.67            2.5       0.733041        5407.79     0.00819819     0.00812199     0.00929517
373.15     149.21            2.5       0.680757        5592.62     0.00651776     0.00644871      0.0105939
373.15     180.13            2.5        0.63572        5785.21     0.00539719     0.00533428      0.0116552
313.38      40.27              4       0.820629        2406.56      0.0247668      0.0246318     0.00545213
313.38      59.78              4       0.738851        2466.92      0.0166851      0.0165652     0.00718725
313.38      73.78              4        0.68082        2511.06      0.0135199      0.0134107     0.00808259
313.38      81.22              4       0.649491        2534.81       0.012282      0.0121784     0.00843639
313.38      90.61              4       0.608427        2565.06      0.0110098      0.0109135     0.00874813
323.15        150              4       0.481399        3279.31     0.00665079     0.00658885     0.00931391
323.15      59.54              4       0.764555        2935.93      0.0167492      0.0166439     0.00628564
323.15      89.53              4        0.65598        3046.06      0.0111395      0.0110511     0.00793104
323.15     120.17              4       0.553883        3162.34     0.00830028      0.0082274     0.00878112
323.15     149.59              4       0.482224        3277.68       0.006669     0.00660693     0.00930723
323.15     179.54              4       0.431297        3398.92     0.00555776     0.00550346     0.00976994
373.15        150              4       0.679507        5597.47     0.00648337     0.00643109     0.00806452
373.15      60.68              4       0.851603        5071.11      0.0160467      0.0159786     0.00424734
373.15      89.16              4       0.790408        5234.16      0.0109161      0.0108537     0.00572248
373.15     120.03              4       0.730554        5415.91     0.00810516     0.00804822       0.007026
373.15     149.24              4        0.68071        5592.81     0.00651644     0.00646405     0.00804039
373.15     181.62              4       0.633751        5794.63     0.00535283      0.0053047     0.00899085
323.15        150              5       0.481399        3279.31     0.00665079     0.00659932     0.00773976
323.2         50              5       0.800273        2904.04      0.0199446      0.0198537     0.00456177
323.2        100              5       0.619283        3087.87     0.00997351     0.00990526     0.00684327
323.2        150              5       0.481654        3281.96     0.00665076     0.00659929     0.00773828
323.2        200              5       0.405225         3486.8     0.00499008     0.00494804      0.0084244
323.2        300              5       0.329418        3930.95     0.00333075     0.00329843     0.00970596
373.15        150              5       0.679507        5597.47     0.00648337     0.00643906     0.00683465
373.2         50              5       0.876014        5012.71       0.019477      0.0194192     0.00296517
373.2        100              5       0.768703        5299.08     0.00973088     0.00968053     0.00517559
373.2        150              5       0.679654        5599.25      0.0064831      0.0064388     0.00683432
373.2        200              5       0.611113        5913.78     0.00485988     0.00482016     0.00817197
373.2        300              5       0.526114        6588.42     0.00323793     0.00320381      0.0105379
323.15        150              6       0.481399        3279.31     0.00665079     0.00660753     0.00650499
373.15        150              6       0.679507        5597.47     0.00648337     0.00644526     0.00587767
